Year,Yearly Rank,Source,Prefix,CH,40,10,PK,High,Verified,Artist,Artist Inverted,Featured,UnFeatured,Album,Album Label/Number,Title,Time,Time Source,explicit,Time (Album),Artist ID,SYMBL,ReIssue,Label/Number,Media,Stereo (55-68),Pic Sleeve,Genre,Comments,Written By,Temp 1,Date Entered,Date Peaked,1st Week,2nd Week,3rd Week,4th Week,5th Week,6th Week,7th Week,8th Week,9th Week,10th Week,11th Week,12th Week,13th Week,14th Week,15th Week,16th Week,17th Week,18th Week,19th Week,20th Week,21st Week,22nd Week,23rd Week,24th Week,25th Week,26th Week,27th Week,28th Week,29th Week,30th Week,31st Week,32nd Week,33rd Week,34th Week,35th Week,36th Week,37th Week,38th Week,39th Week,40th Week,41st Week,42nd Week,43rd Week,44th Week,45th Week,46th Week,47th Week,48th Week,49th Week,50th Week,51st Week,52nd Week,53rd Week,54th Week,55th Week,56th Week,57th Week,58th Week,59th Week,60th Week,61st Week,62nd Week,63rd Week,64th Week,65th Week,66th Week,67th Week,68th Week,69th Week,70th Week,71st Week,72nd Week,73rd Week,74th Week,75th Week,76th Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,472,h,2011-011,20,0,0,1,53,,Chris Young,"Young, Chris",,,The Man I Want To Be,,Voices,3:06,,,,8053,,,RCA Nashville Digital,DD,,,Country,,"C.Young,C.Tompkins,C.Wiseman",604,20/11/2010,12/02/2011,89,91,81,81,77,69,63,80,68,64,60,55,53,57,67,59,60,66,79,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,473,h,2011-012,23,11,0,2,34,,Jason Aldean,"Aldean, Jason",With Kelly Clarkson,,My Kinda Party,,Don't You Wanna Stay,4:16,,,,7746,,,Broken Bow Digital,DD,,,Country,,"J.Sellers,P.Jenkins,A.Gibson",1186,20/11/2010,19/03/2011,93,56,79,95,87,70,60,57,52,49,43,39,35,36,39,38,35,34,34,40,39,40,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,476,h,2011-013,20,0,0,3,46,,Blake Shelton,"Shelton, Blake",,,All About Tonight - EP,,Who Are You When I'm Not Looking,3:07,,,,7303,,,Reprise (Nashville) Digital,DD,,,Country,,"E.B.Lee,J.W.Wiggins",831,20/11/2010,05/02/2011,99,81,76,71,64,54,51,54,51,52,50,46,46,46,55,56,54,53,61,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,484,h,2011-014,22,13,4,1,6,,Jeremih,Jeremih,Featuring 50 Cent,,All About You (Deluxe Edition),,Down On Me,3:48,,,,8031,,,Mick Schultz/Def Jam Digital,DD,,,,,"J.Felton,M.Schultz,C.J.Jackson, Jr.",1512,27/11/2010,23/04/2011,67,70,82,72,62,53,51,55,45,38,30,28,29,31,25,20,12,13,10,9,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,489,h,2011-015,14,0,0,1,71,,Twista,Twista,Featuring Chris Brown,,s,,Make A Movie,3:22,,,,6217,,,GMG Digital,DD,,,,,"C.T.Mitchell,S.Lindley,T-Pain",218,27/11/2010,01/01/2011,94,91,96,91,80,71,83,86,76,83,83,83,85,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,495,h,2011-016,9,1,0,1,39,,Michael Jackson,"Jackson, Michael",Duet With Akon,,s,,Hold My Hand,3:32,,,,6703,,,MJJ Digital,DD,,,,,"A.Thiam,G.Tuinfort,C.Kelly",341,04/12/2010,01/01/2011,84,50,66,65,39,49,59,70,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,496,h,2011-017,20,3,0,1,34,,Train,Train,,,"Save Me, San Francisco (Bonus Track Version)",,Marry Me,3:25,,,,7162,,,Columbia Digital,DD,,,,,P.Monahan,896,04/12/2010,19/02/2011,95,86,94,85,73,77,72,56,42,42,38,34,42,43,45,44,44,35,44,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,499,h,2011-018,20,20,12,1,4,,Enrique Iglesias,"Iglesias, Enrique",Featuring Ludacris & DJ Frank E,,s,,Tonight (I'm Lovin' You),3:51,,xc,,6820,,,Universal Republic Digital,DD,,,,,"C.Bridges,J. Luttrell,J.Franks,L.Christy",2029,11/12/2010,05/02/2011,18,20,15,13,7,6,6,6,4,5,6,6,9,7,9,8,12,13,16,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,503,h,2011-019,20,18,0,1,11,,Diddy,Diddy,- Dirty Money Featuring Skylar Grey,,s,,Coming Home,3:59,,,,7555,,,Bad Boy Digital,DD,,,,,"A. Grant,H. Brook,S.C.Carter,J.L.Cole",1657,11/12/2010,26/03/2011,61,51,24,19,18,23,20,19,13,12,14,26,22,19,22,11,14,18,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,505,h,2011-020,20,16,0,2,24,,Keri Hilson,"Hilson, Keri",,,s,,Pretty Girl Rock,4:04,,,,7986,,,Mosley/Zone 4 Digital,DD,,,,,"S.C.Smith,C.Harmon,R.MacDonald,W.Salter,B.Withers",1371,11/12/2010,26/03/2011,72,62,45,42,31,40,35,39,35,31,32,36,34,33,27,24,27,24,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,508,h,2011-021,9,0,0,1,85,,Bruno Mars,"Mars, Bruno",,,Doo-Wops & Hooligans (Deluxe Version),,Marry You,3:50,,,,8130,,,Elektra Digital,DD,,,,,"P.Lawrence,A.Levine,Bruno Mars",75,11/12/2010,15/01/2011,91,90,98,,86,85,90,100,99,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,511,h,2011-022,20,0,0,1,46,,Billy Currington,"Currington, Billy",,,Enjoy Yourself,,Let Me Down Easy,3:48,,,,2882,,,Mercury Nashville Digital,DD,,,,,".Dodson,J.Hanson,M.Nesler",823,11/12/2010,19/03/2011,97,88,71,62,72,66,61,58,52,48,52,60,57,51,46,47,49,49,51,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,512,h,2011-023,15,0,0,1,56,,Sick Puppies,Sick Puppies,,,Tri-Polar,,Maybe,3:26,,xc,,8145,,,RMR/Virgin Digital,DD,,,,,"S. Moore,E. Anzai,M. Frederiksen",405,11/12/2010,05/02/2011,100,86,76,66,79,67,65,59,56,59,68,77,82,85,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,518,h,2011-024,15,5,0,1,29,,Flo Rida,Flo Rida,Featuring Akon,,"Only One Flo, Pt. 1",,Who Dat Girl,3:19,,,,7924,,,Poe Boy Digital,DD,,,,,"T.Dillard,L.Gottwald,C.Kelly,B.Levin,Bruno Mars,P.Lawrence",751,18/12/2010,29/01/2011,55,67,69,59,53,39,29,32,34,40,54,53,56,64,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,519,h,2011-025,6,0,0,1,50,,Victorious Cast,Victorious Cast,Featuring Victoria Justice,,s,,Freak The Freak Out,3:53,,,,8153,,,Nickelodeon Digital,DD,,,,,"M.T.Corcoran,C.J.Abraham,N.Hexum,Z.Hexum,D.Schneider",176,18/12/2010,15/01/2011,78,,,58,50,77,75,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,521,h,2011-026,10,0,0,1,64,,Birdman,Birdman,Featuring Lil Wayne,,s,,Fire Flame,4:20,,,,7835,,,Cash Money Digital,DD,,,,,"B.Williams,D.Carter,W.Voner",210,18/12/2010,08/01/2011,84,82,70,64,69,67,84,89,94,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,522,h,2011-027,19,13,2,1,7,,Far*East Movement,Far*East Movement,Featuring Ryan Tedder,,Free Wired,,Rocketeer,3:31,,,,8120,,,Cherrytree Digital,DD,,,,,"J.Yip,J.Reeves,R.Romulus,Bruno Mars,P.Lawrence,A.Levine,K.Nishimura,J.Roh,J.Choung",1396,18/12/2010,19/02/2011,93,60,41,39,34,23,17,16,9,7,14,16,16,21,27,33,41,47,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,528,h,2011-028,18,0,0,1,62,,Chris Brown,"Brown, Chris",,,Deuces Single,,No BS,4:06,,xc,,7750,,,Jive Digital,DD,,,,,"K.McCall,C.Brown,C.Whitacre,J.Henderson",336,25/12/2010,05/02/2011,89,81,90,91,75,68,62,67,70,78,83,86,84,93,91,83,93,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,529,h,2011-029,12,0,0,1,61,,Dev,Dev,Featuring The Cataracs,,s,,Bass Down Low,3:30,,xc,,8115,,,Indie-Pop Digital,DD,,,,,"N.Holowell-Dhar,D.Singer-Vine,D.Dailes",267,25/12/2010,12/02/2011,94,74,,99,89,69,64,61,62,73,77,83,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,530,h,2011-030,18,0,0,1,50,,Jamie Foxx,"Foxx, Jamie",Featuring Drake,,s,,Fall For Your Type,4:31,,xc,,7220,,,J Digital,DD,,,,,"N.Shebib,A.Graham,N.Campbell,M.Diaz Rodriguez",573,25/12/2010,19/02/2011,95,75,62,78,72,66,54,51,50,61,63,59,61,69,75,77,84,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,31,h,2011-031,17,17,1,1,9,,Lil Wayne,Lil Wayne,Featuring Cory Gunz,,s,,6 Foot 7 Foot,4:09,,xc,,7575,,,Cash Money Digital,DD,,,,,"D.Carter,S.Crawford,P.Panky,W.Attaway,I.Bulgie",1472,01/01/2011,01/01/2011,9,11,17,12,11,14,17,18,16,20,28,24,21,28,30,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,32,h,2011-032,15,7,0,1,24,,Taio Cruz,"Cruz, Taio",Featuring Travie McCoy,,s,,Higher,3:40,,,,8085,,,Mercury Digital,DD,,,,,"T.Cruz,S.Wilhelm,T.McCoy",828,01/01/2011,19/02/2011,80,41,47,36,37,28,26,24,30,33,42,54,73,84,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,33,h,2011-033,17,12,0,1,13,,Nicki Minaj,"Minaj, Nicki",Featuring Drake,,Pink Friday (Deluxe Version),,Moment 4 Life,4:39,,xc,,8134,,,Young Money/Cash Money Digital,DD,,,,,"O.T.Maraj,A.Graham,T.Williams,N. Seetheram",1237,01/01/2011,19/03/2011,82,69,63,51,44,37,27,22,19,18,15,13,17,18,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
