Year,Yearly Rank,Source,Prefix,CH,40,10,PK,High,Verified,Artist,Artist Inverted,Featured,UnFeatured,Album,Album Label/Number,Title,Time,Time Source,explicit,Time (Album),Artist ID,SYMBL,ReIssue,Label/Number,Media,Stereo (55-68),Pic Sleeve,Genre,Comments,Written By,Temp 1,Date Entered,Date Peaked,1st Week,2nd Week,3rd Week,4th Week,5th Week,6th Week,7th Week,8th Week,9th Week,10th Week,11th Week,12th Week,13th Week,14th Week,15th Week,16th Week,17th Week,18th Week,19th Week,20th Week,21st Week,22nd Week,23rd Week,24th Week,25th Week,26th Week,27th Week,28th Week,29th Week,30th Week,31st Week,32nd Week,33rd Week,34th Week,35th Week,36th Week,37th Week,38th Week,39th Week,40th Week,41st Week,42nd Week,43rd Week,44th Week,45th Week,46th Week,47th Week,48th Week,49th Week,50th Week,51st Week,52nd Week,53rd Week,54th Week,55th Week,56th Week,57th Week,58th Week,59th Week,60th Week,61st Week,62nd Week,63rd Week,64th Week,65th Week,66th Week,67th Week,68th Week,69th Week,70th Week,71st Week,72nd Week,73rd Week,74th Week,75th Week,76th Week
2010,9,h,2010_025,54,39,19,4,3,,Train,Train,,,"Save Me, San Francisco (Bonus Track Version)",,"Hey, Soul Sister",3:36,,,,7162,,,Columbia Digital,DD,,,,,"P.Monahan,E.Lind,A.Bjorklund",4499,17/10/2009,10/04/2010,98,80,59,56,53,47,46,45,46,45,45,32,34,29,23,7,10,9,7,7,7,6,7,6,7,3,3,3,3,5,6,7,10,11,9,12,12,14,16,16,17,17,16,16,19,21,26,30,32,33,42,43,44,43,,,,,,,,,,,,,,,,,,,,,,
2010,350,h,2010_026,28,25,17,2,3,,Nelly,Nelly,,,s,,Just A Dream,3:57,,,,6700,,,Derrty Digital,DD,,,,,"C.Haynes, Jr.,J.G.Scheffer,Rico Love,F.Romano",2712,04/09/2010,23/10/2010,12,13,9,7,8,7,4,3,3,4,5,6,5,5,8,9,9,10,12,10,15,21,23,29,35,43,46,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,26,h,2010_027,33,28,7,1,3,,Lady GaGa,Lady GaGa,Featuring Beyonce,,The Fame Monster,,Telephone,3:40,,,,7983,,,Streamline/Kon Live/Cherrytree Digital,DD,,,,,"S.G.Germanotta,R.Jerkins,L.Daniels,L.Franklin,B.Knowles",2801,12/12/2009,03/04/2010,30,41,46,38,37,37,31,20,20,19,16,15,14,12,11,9,3,5,5,7,7,10,13,14,17,22,23,23,30,35,43,46,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,333,h,2010_028,23,18,5,1,3,,Taylor Swift,"Swift, Taylor",,,s,,Mine,3:51,,,,7850,,,Big Machine Digital,DD,,,,,T.Swift,1934,21/08/2010,21/08/2010,3,8,14,9,7,10,12,11,12,14,14,13,21,16,23,33,37,47,50,52,42,31,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,219,h,2010_029,38,31,13,3,4,,Enrique Iglesias,"Iglesias, Enrique",Featuring Pitbull,,s,,I Like It,3:51,,,,6820,,,Universal Republic Digital,DD,,,,,"N.Khayat,E.Iglesias,L.Richie,A.C.Perez",3181,29/05/2010,28/08/2010,89,82,70,55,32,26,22,18,8,8,6,5,5,4,4,4,5,5,7,9,9,11,13,14,14,18,21,21,20,26,31,33,38,32,34,45,48,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,54,h,2010_030,28,21,11,2,4,,Ke$ha,Ke$ha,,,Animal,,Your Love Is My Drug,3:06,,,,8062,,,Kemosabe/RCA Digital,DD,,,,,"K.Sebert,P.Sebert,J.Coleman",2217,23/01/2010,12/06/2010,27,59,87,93,,94,,,,,91,57,32,19,9,8,8,8,7,7,4,4,6,6,8,11,12,16,19,23,29,36,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,159,h,2010_031,27,22,9,2,4,,Travie McCoy,"McCoy, Travie",Featuring Bruno Mars,,s,,Billionaire,3:31,,xc,,8091,,,Decaydance/Fueled By Ramen Digital,DD,,,,,"T.McCoy,B.Mars,P.Lawrence,A.Levine",2321,17/04/2010,26/06/2010,92,71,60,41,28,22,18,16,11,5,4,4,5,5,5,7,5,8,11,12,17,18,18,23,33,26,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,315,h,2010_032,34,31,15,1,4,,Usher,Usher,Featuring Pitbull,,s,,DJ Got Us Fallin' In Love,3:42,,,,6258,,,LaFace 76763,,,,,,"K.S.Martin,Shellback,S.Kotecha,A.C.Perez",3209,31/07/2010,09/10/2010,19,12,9,8,7,5,5,6,6,5,4,5,5,5,5,6,9,11,12,12,12,13,15,17,16,18,25,24,30,33,40,41,43,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,478,h,2010_033,20,15,10,1,4,,"Black Eyed Peas, The","Black Eyed Peas, The",,,s,,The Time (Dirty Bit),5:08,,,,7024,,,Interscope Digital,,,,,,"W.Adams,A.Pineda,D.LeRoy,F.Previte,J.De Nicola,D.Markowitz",1720,27/11/2010,18/12/2010,12,13,9,4,8,8,9,8,8,9,9,14,19,9,36,48,55,67,64,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,82,h,2010_034,40,29,13,1,5,,David Guetta,"Guetta, David",Featuring Akon,,,,Sexy Chick,3:15,,,,7965,,,Gum/Astralwerks Digital,DD,,,,,"D.Guetta,J.C.Sindres,G.Tuinfort,S.Vee,A.Thiam",3188,15/08/2009,13/02/2010,56,93,,92,79,71,60,55,45,34,25,21,16,18,12,12,7,8,7,6,6,9,6,6,6,7,5,6,10,12,14,17,20,23,24,31,32,38,43,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
